account_id,customer_id,branch_id,account_type,balance_usd,account_status,open_date
ACC000001,CUS000001,BR053,Savings,93514.98,Active,2020-11-20
ACC000002,CUS000001,BR034,Savings,225518.99,Active,2020-12-02
ACC000003,CUS000002,BR053,Savings,239692.12,Active,2025-09-21
ACC000004,CUS000003,BR086,Savings,56993.65,Active,2026-09-09
ACC000005,CUS000004,BR068,Savings,110141.6,Active,2024-06-24
ACC000006,CUS000005,BR004,Savings,295175.46,Active,2020-07-23
ACC000007,CUS000006,BR026,Salary,436562.02,Inactive,2026-02-06
ACC000008,CUS000007,BR039,Current,554453.36,Active,2026-03-31
ACC000009,CUS000008,BR053,Savings,174634.97,Active,2021-05-22
ACC000010,CUS000008,BR003,Current,776194.21,Active,2020-12-07
ACC000011,CUS000008,BR037,Savings,89026.4,Active,2020-07-06
ACC000012,CUS000009,BR041,Savings,170013.45,Active,2019-04-06
ACC000013,CUS000010,BR018,Fixed Deposit,4475876.16,Inactive,2024-06-02
ACC000014,CUS000011,BR052,Savings,162954.62,Active,2023-06-29
ACC000015,CUS000012,BR056,Savings,214522.98,Active,2024-07-06
ACC000016,CUS000013,BR051,Savings,230919.63,Active,2022-01-14
ACC000017,CUS000014,BR092,Savings,59875.4,Active,2021-04-13
ACC000018,CUS000014,BR077,Salary,424297.28,Active,2020-09-22
ACC000019,CUS000015,BR010,Savings,73696.8,Active,2021-05-16
ACC000020,CUS000016,BR071,Current,935953.96,Active,2021-12-23
ACC000021,CUS000016,BR063,Savings,23455.03,Active,2019-10-11
ACC000022,CUS000016,BR007,Salary,451084.24,Inactive,2021-12-16
ACC000023,CUS000017,BR095,Savings,191924.34,Active,2023-10-31
ACC000024,CUS000017,BR089,Current,1260085.16,Active,2024-03-31
ACC000025,CUS000017,BR061,Savings,115602.67,Active,2024-04-24
ACC000026,CUS000018,BR029,Savings,144788.87,Active,2023-08-14
ACC000027,CUS000019,BR079,Current,936968.42,Active,2023-11-04
ACC000028,CUS000020,BR036,Current,1116970.3,Active,2021-11-02
ACC000029,CUS000020,BR096,Savings,128389.21,Active,2020-10-03
ACC000030,CUS000021,BR029,Current,344722.36,Active,2020-03-19
ACC000031,CUS000022,BR043,Savings,1634.04,Active,2023-08-29
ACC000032,CUS000023,BR014,Savings,141009.58,Active,2026-11-24
ACC000033,CUS000024,BR010,Salary,164361.43,Active,2023-10-20
ACC000034,CUS000024,BR012,Savings,35967.24,Active,2021-11-03
ACC000035,CUS000025,BR042,Savings,234871.52,Active,2025-10-18
ACC000036,CUS000026,BR013,Current,340129.05,Active,2022-01-17
ACC000037,CUS000027,BR044,Salary,430809.53,Active,2021-07-14
ACC000038,CUS000028,BR015,Savings,42724.89,Active,2024-11-29
ACC000039,CUS000028,BR095,Savings,31837.16,Active,2025-10-07
ACC000040,CUS000028,BR085,Fixed Deposit,1610693.98,Active,2025-07-05
ACC000041,CUS000029,BR002,Savings,228951.21,Inactive,2020-04-15
ACC000042,CUS000029,BR066,Current,474491.39,Active,2021-05-04
ACC000043,CUS000030,BR055,Savings,212196.52,Active,2022-04-29
ACC000044,CUS000030,BR085,Savings,4216.55,Active,2022-12-17
ACC000045,CUS000031,BR016,Salary,256792.94,Active,2019-04-11
ACC000046,CUS000032,BR092,Savings,20957.6,Active,2025-02-25
ACC000047,CUS000033,BR007,Current,112533.51,Active,2025-07-02
