loan_id,customer_id,loan_type,loan_amount,interest_rate,loan_status,start_date
LOAN000001,CUS002918,Car Loan,84981,10.27,Approved,2021-05-27
LOAN000002,CUS002235,Business Loan,2186930,12.94,Approved,2021-02-06
LOAN000003,CUS014397,Education Loan,801610,12.45,Approved,2022-05-07
LOAN000004,CUS001782,Personal Loan,138552,12.16,Approved,2023-09-28
LOAN000005,CUS011103,Car Loan,199643,8.97,Approved,2023-03-24
LOAN000006,CUS000733,Business Loan,938589,12.5,Approved,2025-08-07
LOAN000007,CUS007693,Education Loan,274420,8.24,Approved,2021-01-11
LOAN000008,CUS010590,Car Loan,246661,9.28,Pending,2021-09-10
LOAN000009,CUS016099,Education Loan,130636,8.86,Closed,2025-09-21
LOAN000010,CUS004921,Home Loan,1040454,13.32,Approved,2020-01-04
LOAN000011,CUS006602,Gold Loan,207730,7.98,Approved,2021-11-14
LOAN000012,CUS007612,Home Loan,295798,11.34,Approved,2020-03-03
LOAN000013,CUS003826,Home Loan,202215,12.68,Closed,2022-01-22
LOAN000014,CUS018756,Business Loan,2603939,12.46,Pending,2022-08-27
LOAN000015,CUS006863,Gold Loan,73932,12.75,Approved,2022-01-19
LOAN000016,CUS003848,Home Loan,608649,11.73,Approved,2024-02-14
LOAN000017,CUS007257,Car Loan,591179,9.02,Approved,2020-04-17
LOAN000018,CUS013712,Home Loan,190877,9.54,Closed,2025-04-07
LOAN000019,CUS012390,Gold Loan,109021,13.54,Pending,2023-02-08
LOAN000020,CUS009773,Personal Loan,175081,11.59,Approved,2021-03-10
LOAN000021,CUS002536,Home Loan,195357,9.27,Approved,2021-09-10
LOAN000022,CUS011565,Gold Loan,285953,11.34,Approved,2021-07-25
LOAN000023,CUS014223,Education Loan,250846,13.51,Approved,2025-11-08
LOAN000024,CUS001018,Personal Loan,559596,13.79,Pending,2021-07-24
LOAN000025,CUS010122,Business Loan,102695,11.6,Approved,2023-01-25
LOAN000026,CUS013673,Business Loan,160034,9.03,Approved,2021-07-14
LOAN000027,CUS011272,Home Loan,101209,8.21,Approved,2025-06-24
LOAN000028,CUS000125,Education Loan,371506,9.34,Approved,2021-08-09
LOAN000029,CUS010458,Home Loan,203936,10.26,Approved,2021-01-14
LOAN000030,CUS002830,Gold Loan,1428862,13.4,Approved,2024-12-28
LOAN000031,CUS000440,Business Loan,2504079,11.48,Approved,2022-02-22
LOAN000032,CUS002111,Home Loan,2920861,11.07,Approved,2021-10-27
LOAN000033,CUS013637,Education Loan,1239561,12.88,Pending,2025-02-11
LOAN000034,CUS007524,Gold Loan,126030,11.63,Pending,2021-01-10
LOAN000035,CUS011491,Business Loan,62635,10.9,Approved,2024-07-18
LOAN000036,CUS014474,Car Loan,1451872,11.91,Pending,2020-11-22
LOAN000037,CUS018325,Car Loan,262913,8.0,Approved,2023-11-07
LOAN000038,CUS005414,Home Loan,147095,9.59,Approved,2022-12-01
LOAN000039,CUS004978,Car Loan,246596,13.24,Approved,2020-12-04
LOAN000040,CUS004064,Home Loan,2445055,13.53,Approved,2023-04-27
LOAN000041,CUS005965,Education Loan,5121280,9.68,Approved,2023-12-13
LOAN000042,CUS013876,Business Loan,142412,13.75,Approved,2025-01-23
LOAN000043,CUS012476,Car Loan,50266,8.92,Pending,2022-10-09
LOAN000044,CUS005724,Business Loan,106882,9.46,Approved,2021-06-07
LOAN000045,CUS019566,Business Loan,64212,9.95,Approved,2025-02-03
LOAN000046,CUS006223,Personal Loan,2601333,12.37,Approved,2024-06-28
LOAN000047,CUS019890,Gold Loan,3840311,9.69,Approved,2025-01-15
LOAN000048,CUS017677,Car Loan,237831,11.98,Closed,2022-12-14
LOAN000049,CUS012014,Car Loan,1063056,12.29,Approved,2023-06-09
LOAN000050,CUS000190,Personal Loan,167493,12.06,Pending,2021-06-25
LOAN000051,CUS018836,Personal Loan,825612,12.13,Approved,2024-10-10
LOAN000052,CUS016798,Personal Loan,737765,12.83,Approved,2020-10-16
LOAN000053,CUS005864,Education Loan,8688221,11.04,Approved,2024-07-06
LOAN000054,CUS006765,Business Loan,146514,9.42,Pending,2021-11-13
LOAN000055,CUS001965,Car Loan,2507677,11.88,Approved,2022-09-02
LOAN000056,CUS000163,Home Loan,221794,11.92,Approved,2021-07-17
LOAN000057,CUS004075,Business Loan,8608045,9.78,Approved,2023-02-21
LOAN000058,CUS009459,Business Loan,676018,13.5,Approved,2025-06-05
LOAN000059,CUS011047,Gold Loan,8265714,13.56,Closed,2021-03-20
LOAN000060,CUS003145,Home Loan,903431,9.36,Approved,2022-07-11
LOAN000061,CUS004441,Education Loan,2662154,10.32,Approved,2022-06-06
LOAN000062,CUS013518,Personal Loan,172901,8.0,Approved,2025-12-03
LOAN000063,CUS016568,Car Loan,201947,10.35,Approved,2022-11-06
LOAN000064,CUS004774,Gold Loan,256066,12.99,Approved,2020-11-17
LOAN000065,CUS007069,Gold Loan,2734414,7.3,Approved,2023-09-02
LOAN000066,CUS016180,Education Loan,183706,7.78,Pending,2024-07-12
LOAN000067,CUS018387,Gold Loan,209354,13.65,Pending,2023-01-06
LOAN000068,CUS001626,Education Loan,756707,7.67,Closed,2022-07-24
LOAN000069,CUS016402,Personal Loan,964076,8.01,Closed,2021-01-07
LOAN000070,CUS013694,Business Loan,295065,9.48,Approved,2020-08-10
LOAN000071,CUS008800,Business Loan,4534765,10.98,Approved,2025-06-21
LOAN000072,CUS002526,Education Loan,774500,13.52,Approved,2023-01-26
LOAN000073,CUS007095,Home Loan,210251,12.97,Approved,2021-09-03
LOAN000074,CUS019726,Education Loan,2603739,9.43,Approved,2025-04-14
LOAN000075,CUS018036,Gold Loan,2129353,8.4,Closed,2022-01-08
LOAN000076,CUS004894,Car Loan,211013,12.65,Closed,2020-01-03
LOAN000077,CUS008143,Business Loan,402859,10.4,Pending,2023-09-25
LOAN000078,CUS002371,Car Loan,192754,11.69,Pending,2022-02-26
LOAN000079,CUS008537,Personal Loan,158958,12.26,Approved,2023-08-11
LOAN000080,CUS019853,Gold Loan,109554,12.23,Closed,2025-06-01
LOAN000081,CUS001714,Personal Loan,201228,12.34,Closed,2021-03-05
LOAN000082,CUS007956,Business Loan,78215,9.41,Pending,2021-01-15
LOAN000083,CUS002976,Personal Loan,5236656,11.52,Pending,2025-08-06
LOAN000084,CUS012307,Car Loan,213020,8.41,Approved,2020-10-18
LOAN000085,CUS016918,Gold Loan,254707,7.67,Approved,2020-02-27
