branch_id,branch_name,manager_name,city,state
BR001,Bank of India - Bengaluru,Aryan Maharaj,Bengaluru,Karnataka
BR002,Axis Bank - Jaipur,Udant Dewan,Jaipur,Rajasthan
BR003,Indian Bank - Chennai,Gagan Sami,Chennai,Tamil Nadu
BR004,IDFC FIRST Bank - Ranchi,Ayushman Chander,Ranchi,Jharkhand
BR005,State Bank of India - Bhubaneswar,Viraj Tiwari,Bhubaneswar,Odisha
BR006,Axis Bank - New Delhi,Rushil Saini,New Delhi,Delhi
BR007,Union Bank of India - Gurugram,Saumya Mall,Gurugram,Haryana
BR008,Indian Bank - Kozhikode,Nathaniel Sami,Kozhikode,Kerala
BR009,Axis Bank - Jamshedpur,Arunima Dugal,Jamshedpur,Jharkhand
BR010,Yes Bank - Guwahati,Gayathri Chaudry,Guwahati,Assam
BR011,Bank of India - Nagpur,Lajita Chatterjee,Nagpur,Maharashtra
BR012,Kotak Mahindra Bank - Cuttack,Hemangini Lalla,Cuttack,Odisha
BR013,Yes Bank - Coimbatore,Tripti Yadav,Coimbatore,Tamil Nadu
BR014,HDFC Bank - Lucknow,Kritika Brar,Lucknow,Uttar Pradesh
BR015,Punjab National Bank - Patna,Janaki Handa,Patna,Bihar
BR016,Kotak Mahindra Bank - Gwalior,Chakradev Kari,Gwalior,Madhya Pradesh
BR017,Union Bank of India - Rajkot,Fariq Kaul,Rajkot,Gujarat
BR018,HDFC Bank - Mangalore,Lajita Mall,Mangalore,Karnataka
BR019,IndusInd Bank - Jamshedpur,Janya Gaba,Jamshedpur,Jharkhand
BR020,IDFC FIRST Bank - Haridwar,Isha Kadakia,Haridwar,Uttarakhand
BR021,HDFC Bank - Kozhikode,Ekbal Garg,Kozhikode,Kerala
BR022,Yes Bank - Surat,Nihal Shere,Surat,Gujarat
BR023,IndusInd Bank - Kolkata,Anamika Kanda,Kolkata,West Bengal
BR024,Canara Bank - Amritsar,Daksh Karnik,Amritsar,Punjab
BR025,Indian Bank - Udaipur,Diya Rattan,Udaipur,Rajasthan
BR026,Punjab National Bank - Indore,Dominic Kakar,Indore,Madhya Pradesh
BR027,Indian Bank - Indore,Simon Tata,Indore,Madhya Pradesh
BR028,Federal Bank - Jodhpur,Tara Dhar,Jodhpur,Rajasthan
BR029,Union Bank of India - New Delhi,Liam Koshy,New Delhi,Delhi
