merchant_id,merchant_name,category,city,state
MER00001,More Supermarket 1,Supermarket,Mysuru,Karnataka
MER00002,Reliance Digital 2,Electronics,Bhopal,Madhya Pradesh
MER00003,MedPlus 3,Healthcare,Ranchi,Jharkhand
MER00004,Reliance Trends 4,Fashion,Dehradun,Uttarakhand
MER00005,Croma 5,Electronics,Mangalore,Karnataka
MER00006,Big Bazaar 6,Supermarket,Haridwar,Uttarakhand
MER00007,Reliance Trends 7,Fashion,Howrah,West Bengal
MER00008,Vijay Sales 8,Electronics,Jaipur,Rajasthan
MER00009,Vijay Sales 9,Electronics,Faridabad,Haryana
MER00010,Zudio 10,Fashion,Udaipur,Rajasthan
MER00011,McDonald's 11,Restaurant,Vadodara,Gujarat
MER00012,Apollo Pharmacy 12,Healthcare,Durgapur,West Bengal
MER00013,DMart 13,Supermarket,Guwahati,Assam
MER00014,Apollo Pharmacy 14,Healthcare,Jodhpur,Rajasthan
MER00015,Big Bazaar 15,Supermarket,Trivandrum,Kerala
MER00016,Pantaloons 16,Fashion,Guwahati,Assam
MER00017,Starbucks 17,Cafe,Faridabad,Haryana
MER00018,Starbucks 18,Cafe,Hubli,Karnataka
MER00019,MedPlus 19,Healthcare,Salem,Tamil Nadu
MER00020,Spencer's 20,Supermarket,Ghaziabad,Uttar Pradesh
MER00021,KFC 21,Restaurant,Haridwar,Uttarakhand
MER00022,Starbucks 22,Cafe,Jamshedpur,Jharkhand
MER00023,Lifestyle 23,Fashion,Nagpur,Maharashtra
MER00024,Big Bazaar 24,Supermarket,Rajkot,Gujarat
MER00025,Big Bazaar 25,Supermarket,Noida,Uttar Pradesh
MER00026,MedPlus 26,Healthcare,Delhi,Delhi
MER00027,Croma 27,Electronics,Faridabad,Haryana
MER00028,Zudio 28,Fashion,Hubli,Karnataka
MER00029,Pantaloons 29,Fashion,Bilaspur,Chhattisgarh
MER00030,Zudio 30,Fashion,Bhubaneswar,Odisha
MER00031,McDonald's 31,Restaurant,Jamshedpur,Jharkhand
MER00032,DMart 32,Supermarket,Patna,Bihar
MER00033,More Supermarket 33,Supermarket,Bhopal,Madhya Pradesh
